Call											Put																				
Last traded	Open	High	Low	D. Settle	OI adj	Volume	Last	Bid	Ask	Strike	Bid	Ask	Last	Volume	OI adj	D. Settle	Open	High	Low	Last traded											
12:15 20/11	"4,117.90"	"4,117.90"	"4,117.90"	"4,117.90"	-	-	"4,117.90"	-	-	100	-	-	5.3	-	-	5.3	5.3	5.3	5.3	12:15 20/11											
12:15 20/11	"4,030.00"	"4,030.00"	"4,030.00"	"4,030.00"	-	-	"4,030.00"	-	-	200	-	-	6.2	-	-	6.2	6.2	6.2	6.2	12:15 20/11											
12:15 20/11	"3,942.00"	"3,942.00"	"3,942.00"	"3,942.00"	-	-	"3,942.00"	-	-	300	-	-	6.9	-	-	6.9	6.9	6.9	6.9	12:15 20/11											
12:15 20/11	"3,854.30"	"3,854.30"	"3,854.30"	"3,854.30"	-	-	"3,854.30"	-	-	400	-	-	7.9	-	-	7.9	7.9	7.9	7.9	12:15 20/11											
12:15 20/11	"3,766.80"	"3,766.80"	"3,766.80"	"3,766.80"	-	-	"3,766.80"	-	-	500	-	-	9.1	-	-	9.1	9.1	9.1	9.1	12:15 20/11											
12:15 20/11	"3,679.60"	"3,679.60"	"3,679.60"	"3,679.60"	-	-	"3,679.60"	-	-	600	-	-	10.7	-	-	10.7	10.7	10.7	10.7	12:15 20/11											
12:15 20/11	"3,592.70"	"3,592.70"	"3,592.70"	"3,592.70"	-	-	"3,592.70"	-	-	700	-	-	12.5	-	-	12.5	12.5	12.5	12.5	12:15 20/11											
12:15 20/11	"3,506.10"	"3,506.10"	"3,506.10"	"3,506.10"	-	-	"3,506.10"	-	-	800	-	-	14.6	-	-	14.6	14.6	14.6	14.6	12:15 20/11											
12:15 20/11	"3,419.80"	"3,419.80"	"3,419.80"	"3,419.80"	-	-	"3,419.80"	-	-	900	-	-	17	-	-	17	17	17	17	12:15 20/11											
12:15 20/11	"3,333.80"	"3,333.80"	"3,333.80"	"3,333.80"	"4,001"	-	"3,333.80"	-	-	"1,000.00"	15	-	19.7	-	"53,001"	19.7	19.7	19.7	19.7	12:15 20/11											
