Last traded,Call-Last,Strike,Put-Last
12:15 20/11,4117.9,100.0,5.3
12:15 20/11,4030.0,200.0,6.2
12:15 20/11,3942.0,300.0,6.9
12:15 20/11,3854.3,400.0,7.9
12:15 20/11,3766.8,500.0,9.1
12:15 20/11,3679.6,600.0,10.7
12:15 20/11,3592.7,700.0,12.5
12:15 20/11,3506.1,800.0,14.6
12:15 20/11,3419.8,900.0,17.0
12:15 20/11,3333.8,1000.0,19.7
12:15 20/11,3290.9,1050.0,21.1
12:15 20/11,3248.1,1100.0,22.7
12:15 20/11,3205.4,1150.0,24.3
12:15 20/11,3162.7,1200.0,26.0
12:15 20/11,3120.1,1250.0,27.7
12:15 20/11,3077.6,1300.0,29.6
12:15 20/11,3035.2,1350.0,31.5
12:15 20/11,2992.8,1400.0,33.5
12:15 20/11,2950.6,1450.0,35.6
12:15 20/11,2908.4,1500.0,37.8
12:15 20/11,2824.4,1600.0,42.5
12:15 20/11,2740.8,1700.0,47.6
12:15 20/11,2657.7,1800.0,53.2
12:15 20/11,2575.0,1900.0,59.2
12:15 20/11,2492.7,2000.0,65.6
12:15 20/11,2410.8,2100.0,72.4
12:15 20/11,2329.4,2200.0,79.7
12:15 20/11,2248.3,2300.0,87.4
12:15 20/11,2167.8,2400.0,95.6
12:15 20/11,2087.9,2500.0,104.4
12:15 20/11,2008.7,2600.0,113.8
12:15 20/11,1930.2,2700.0,124.1
12:15 20/11,1852.7,2800.0,135.3
12:15 20/11,1814.3,2850.0,141.2
12:15 20/11,1776.2,2900.0,147.5
12:15 20/11,1700.7,3000.0,160.7
12:15 20/11,1626.2,3100.0,174.9
12:15 20/11,1552.9,3200.0,190.4
12:15 20/11,1480.9,3300.0,207.0
12:15 20/11,1410.1,3400.0,225.0
12:15 20/11,1340.8,3500.0,244.3
12:15 20/11,1272.9,3600.0,265.2
12:15 20/11,1206.7,3700.0,287.6
12:15 20/11,1142.0,3800.0,311.7
12:15 20/11,1079.2,3900.0,337.5
12:15 20/11,1033.2,3975.0,358.1
12:15 20/11,1018.1,4000.0,365.2
12:15 20/11,988.3,4050.0,379.7
12:15 20/11,958.9,4100.0,394.7
12:15 20/11,930.1,4150.0,410.2
12:15 20/11,901.7,4200.0,426.2
12:15 20/11,873.9,4250.0,442.7
12:15 20/11,846.6,4300.0,459.8
12:15 20/11,819.7,4350.0,477.3
12:15 20/11,793.4,4400.0,495.3
12:15 20/11,742.5,4500.0,533.2
12:15 20/11,694.0,4600.0,573.3
12:15 20/11,647.6,4700.0,615.7
12:15 20/11,603.6,4800.0,660.4
12:15 20/11,582.5,4850.0,683.6
12:15 20/11,561.9,4900.0,707.3
12:15 20/11,541.8,4950.0,731.6
12:15 20/11,522.3,5000.0,756.5
12:15 20/11,485.0,5100.0,807.9
12:15 20/11,449.8,5200.0,861.4
12:15 20/11,416.7,5300.0,916.9
12:15 20/11,385.6,5400.0,974.6
12:15 20/11,356.4,5500.0,1034.1
12:15 20/11,329.2,5600.0,1095.6
12:15 20/11,304.0,5700.0,1159.1
12:15 20/11,280.6,5800.0,1224.4
12:15 20/11,259.0,5900.0,1291.6
12:15 20/11,239.1,6000.0,1360.3
12:15 20/11,220.7,6100.0,1430.7
12:15 20/11,203.8,6200.0,1502.4
12:15 20/11,173.8,6400.0,1649.8
12:15 20/11,148.3,6600.0,1801.8
12:15 20/11,126.7,6800.0,1957.6
12:15 20/11,108.3,7000.0,2116.7
12:15 20/11,92.7,7200.0,2278.5
12:15 20/11,79.6,7400.0,2442.7
12:15 20/11,68.3,7600.0,2608.9
12:15 20/11,58.8,7800.0,2776.8
12:15 20/11,50.7,8000.0,2946.1
12:15 20/11,12.4,10000.0,4681.9
12:15 20/11,3.6,12000.0,6447.3
