Month,Ticker,Prior Settle,Open,High,Low
24-Aug,SR3Q4,95.0025,-,-,-
24-Sep,SR3U4,95.2325,95.235,95.2375,95.2325
24-Oct,SR3V4,95.3475,95.3525,95.3525,95.345
24-Nov,SR3X4,95.4825,95.4775,95.495,95.47
24-Dec,SR3Z4,95.5425,95.5425,95.575,95.5325
25-Jan,SR3F5,95.62,-,-,-
25-Feb,SR3G5,95.705,-,-,-
25-Mar,SR3H5,95.785,95.785,95.84,95.77
25-Apr,SR3J5,95.84,-,-,-
25-May,SR3K5,95.9,-,-,-
25-Jun,SR3M5,95.98,95.985,96.05,95.96
25-Sep,SR3U5,96.08,96.085,96.17,96.075
25-Dec,SR3Z5,96.13,96.14,96.23,96.135
26-Mar,SR3H6,96.165,96.17,96.26,96.165
26-Jun,SR3M6,96.18,96.185,96.28,96.18
26-Sep,SR3U6,96.19,96.195,96.285,96.19
26-Dec,SR3Z6,96.185,96.19,96.275,96.19
27-Mar,SR3H7,96.19,96.19,96.275,96.19
27-Jun,SR3M7,96.195,96.195,96.28,96.195
27-Sep,SR3U7,96.2,96.195,96.285,96.195
27-Dec,SR3Z7,96.2,96.195,96.275,96.195
28-Mar,SR3H8,96.195,96.185,96.27,96.185
28-Jun,SR3M8,96.185,96.175,96.26,96.175
28-Sep,SR3U8,96.17,96.16,96.245,96.16
28-Dec,SR3Z8,96.155,96.145,96.23,96.145
29-Mar,SR3H9,96.135,96.125,96.205,96.125
29-Jun,SR3M9,96.115,96.105,96.185,96.105
29-Sep,SR3U9,96.095,96.085,96.165,96.085
29-Dec,SR3Z9,96.075,96.07,96.13,96.07
30-Mar,SR3H0,96.05,96.05,96.09,96.05
30-Jun,SR3M0,96.025,96.045,96.055,96.04
30-Sep,SR3U0,95.995,96.02,96.02,96.01
30-Dec,SR3Z0,95.97,95.97,95.97,95.97
31-Mar,SR3H1,95.945,-,-,-
Jun-31,SR3M1,95.92,-,-,-
Sep-31,SR3U1,95.9,-,-,-
31-Dec,SR3Z1,95.88,-,-,-
Mar-32,SR3H2,95.87,-,-,-
Jun-32,SR3M2,95.865,-,-,-
Sep-32,SR3U2,95.855,-,-,-
Dec-32,SR3Z2,95.81,-,-,-
Mar-33,SR3H3,95.815,-,-,-
Jun-33,SR3M3,95.815,-,-,-
Sep-33,SR3U3,95.83,-,-,-
Dec-33,SR3Z3,95.785,-,-,-
Mar-34,SR3H4,95.81,-,-,-
