DATE,TIME PERIOD,Euro short-term rate - Volume-weighted trimmed mean rate (EST.B.EU000A2X2A25.WT)
10/1/2019,1-Oct-19,-0.549
10/2/2019,2-Oct-19,-0.551
10/3/2019,3-Oct-19,-0.555
10/4/2019,4-Oct-19,-0.553
10/7/2019,7-Oct-19,-0.554
10/8/2019,8-Oct-19,-0.552
10/9/2019,9-Oct-19,-0.552
10/10/2019,10-Oct-19,-0.552
10/11/2019,11-Oct-19,-0.55
10/14/2019,14-Oct-19,-0.549
10/15/2019,15-Oct-19,-0.551
10/16/2019,16-Oct-19,-0.548
10/17/2019,17-Oct-19,-0.548
10/18/2019,18-Oct-19,-0.547
10/21/2019,21-Oct-19,-0.549
10/22/2019,22-Oct-19,-0.548
10/23/2019,23-Oct-19,-0.547
10/24/2019,24-Oct-19,-0.548
10/25/2019,25-Oct-19,-0.548
10/28/2019,28-Oct-19,-0.548
10/29/2019,29-Oct-19,-0.545
10/30/2019,30-Oct-19,-0.545
10/31/2019,31-Oct-19,-0.543
11/1/2019,1-Nov-19,-0.549
11/4/2019,4-Nov-19,-0.536
11/5/2019,5-Nov-19,-0.541
11/6/2019,6-Nov-19,-0.539
11/7/2019,7-Nov-19,-0.537
11/8/2019,8-Nov-19,-0.54
11/11/2019,11-Nov-19,-0.541
11/12/2019,12-Nov-19,-0.537
11/13/2019,13-Nov-19,-0.531
11/14/2019,14-Nov-19,-0.536
11/15/2019,15-Nov-19,-0.541
11/18/2019,18-Nov-19,-0.541
11/19/2019,19-Nov-19,-0.542
11/20/2019,20-Nov-19,-0.511
11/21/2019,21-Nov-19,-0.542
11/22/2019,22-Nov-19,-0.536
11/25/2019,25-Nov-19,-0.533
11/26/2019,26-Nov-19,-0.533
11/27/2019,27-Nov-19,-0.533
11/28/2019,28-Nov-19,-0.531
11/29/2019,29-Nov-19,-0.532
12/2/2019,2-Dec-19,-0.541
12/3/2019,3-Dec-19,-0.539
12/4/2019,4-Dec-19,-0.54
12/5/2019,5-Dec-19,-0.54
12/6/2019,6-Dec-19,-0.541
12/9/2019,9-Dec-19,-0.541
12/10/2019,10-Dec-19,-0.544
12/11/2019,11-Dec-19,-0.544
12/12/2019,12-Dec-19,-0.544
12/13/2019,13-Dec-19,-0.543
12/16/2019,16-Dec-19,-0.543
12/17/2019,17-Dec-19,-0.536
12/18/2019,18-Dec-19,-0.54
12/19/2019,19-Dec-19,-0.54
12/20/2019,20-Dec-19,-0.54
12/23/2019,23-Dec-19,-0.545
12/24/2019,24-Dec-19,-0.549
12/27/2019,27-Dec-19,-0.542
12/30/2019,30-Dec-19,-0.541
12/31/2019,31-Dec-19,-0.531
1/2/2020,2-Jan-20,-0.539
1/3/2020,3-Jan-20,-0.537
1/6/2020,6-Jan-20,-0.539
1/7/2020,7-Jan-20,-0.54
1/8/2020,8-Jan-20,-0.536
1/9/2020,9-Jan-20,-0.539
1/10/2020,10-Jan-20,-0.538
1/13/2020,13-Jan-20,-0.537
1/14/2020,14-Jan-20,-0.538
1/15/2020,15-Jan-20,-0.538
1/16/2020,16-Jan-20,-0.536
1/17/2020,17-Jan-20,-0.537
1/20/2020,20-Jan-20,-0.538
1/21/2020,21-Jan-20,-0.535
1/22/2020,22-Jan-20,-0.536
1/23/2020,23-Jan-20,-0.537
1/24/2020,24-Jan-20,-0.537
1/27/2020,27-Jan-20,-0.538
1/28/2020,28-Jan-20,-0.536
1/29/2020,29-Jan-20,-0.54
1/30/2020,30-Jan-20,-0.539
1/31/2020,31-Jan-20,-0.539
2/3/2020,3-Feb-20,-0.537
2/4/2020,4-Feb-20,-0.536
2/5/2020,5-Feb-20,-0.536
2/6/2020,6-Feb-20,-0.535
2/7/2020,7-Feb-20,-0.537
2/10/2020,10-Feb-20,-0.537
2/11/2020,11-Feb-20,-0.541
2/12/2020,12-Feb-20,-0.541
2/13/2020,13-Feb-20,-0.54
2/14/2020,14-Feb-20,-0.538
2/17/2020,17-Feb-20,-0.541
2/18/2020,18-Feb-20,-0.536
2/19/2020,19-Feb-20,-0.538
2/20/2020,20-Feb-20,-0.538
2/21/2020,21-Feb-20,-0.539
2/24/2020,24-Feb-20,-0.54
2/25/2020,25-Feb-20,-0.539
2/26/2020,26-Feb-20,-0.539
2/27/2020,27-Feb-20,-0.538
2/28/2020,28-Feb-20,-0.54
3/2/2020,2-Mar-20,-0.542
3/3/2020,3-Mar-20,-0.542
3/4/2020,4-Mar-20,-0.541
3/5/2020,5-Mar-20,-0.54
3/6/2020,6-Mar-20,-0.541
3/9/2020,9-Mar-20,-0.539
3/10/2020,10-Mar-20,-0.541
3/11/2020,11-Mar-20,-0.543
3/12/2020,12-Mar-20,-0.54
3/13/2020,13-Mar-20,-0.541
3/16/2020,16-Mar-20,-0.536
3/17/2020,17-Mar-20,-0.531
3/18/2020,18-Mar-20,-0.529
3/19/2020,19-Mar-20,-0.526
3/20/2020,20-Mar-20,-0.524
3/23/2020,23-Mar-20,-0.525
3/24/2020,24-Mar-20,-0.527
3/25/2020,25-Mar-20,-0.527
3/26/2020,26-Mar-20,-0.529
3/27/2020,27-Mar-20,-0.53
3/30/2020,30-Mar-20,-0.528
3/31/2020,31-Mar-20,-0.522
4/1/2020,1-Apr-20,-0.527
4/2/2020,2-Apr-20,-0.534
4/3/2020,3-Apr-20,-0.539
4/6/2020,6-Apr-20,-0.533
4/7/2020,7-Apr-20,-0.533
4/8/2020,8-Apr-20,-0.535
4/9/2020,9-Apr-20,-0.536
4/14/2020,14-Apr-20,-0.534
4/15/2020,15-Apr-20,-0.535
4/16/2020,16-Apr-20,-0.534
4/17/2020,17-Apr-20,-0.538
4/20/2020,20-Apr-20,-0.541
4/21/2020,21-Apr-20,-0.541
4/22/2020,22-Apr-20,-0.539
4/23/2020,23-Apr-20,-0.539
4/24/2020,24-Apr-20,-0.539
4/27/2020,27-Apr-20,-0.539
4/28/2020,28-Apr-20,-0.541
4/29/2020,29-Apr-20,-0.543
4/30/2020,30-Apr-20,-0.531
5/4/2020,4-May-20,-0.543
5/5/2020,5-May-20,-0.539
5/6/2020,6-May-20,-0.542
5/7/2020,7-May-20,-0.541
5/8/2020,8-May-20,-0.541
5/11/2020,11-May-20,-0.544
5/12/2020,12-May-20,-0.543
5/13/2020,13-May-20,-0.542
5/14/2020,14-May-20,-0.541
5/15/2020,15-May-20,-0.543
5/18/2020,18-May-20,-0.542
5/19/2020,19-May-20,-0.542
5/20/2020,20-May-20,-0.545
5/21/2020,21-May-20,-0.545
5/22/2020,22-May-20,-0.539
5/25/2020,25-May-20,-0.54
5/26/2020,26-May-20,-0.541
5/27/2020,27-May-20,-0.541
5/28/2020,28-May-20,-0.541
5/29/2020,29-May-20,-0.54
6/1/2020,1-Jun-20,-0.546
6/2/2020,2-Jun-20,-0.542
6/3/2020,3-Jun-20,-0.543
6/4/2020,4-Jun-20,-0.545
6/5/2020,5-Jun-20,-0.544
6/8/2020,8-Jun-20,-0.547
6/9/2020,9-Jun-20,-0.542
6/10/2020,10-Jun-20,-0.548
6/11/2020,11-Jun-20,-0.547
6/12/2020,12-Jun-20,-0.546
6/15/2020,15-Jun-20,-0.547
6/16/2020,16-Jun-20,-0.546
6/17/2020,17-Jun-20,-0.544
6/18/2020,18-Jun-20,-0.544
6/19/2020,19-Jun-20,-0.546
6/22/2020,22-Jun-20,-0.545
6/23/2020,23-Jun-20,-0.544
6/24/2020,24-Jun-20,-0.546
6/25/2020,25-Jun-20,-0.547
6/26/2020,26-Jun-20,-0.547
6/29/2020,29-Jun-20,-0.545
6/30/2020,30-Jun-20,-0.555
7/1/2020,1-Jul-20,-0.548
7/2/2020,2-Jul-20,-0.548
7/3/2020,3-Jul-20,-0.549
7/6/2020,6-Jul-20,-0.55
7/7/2020,7-Jul-20,-0.55
7/8/2020,8-Jul-20,-0.549
7/9/2020,9-Jul-20,-0.549
7/10/2020,10-Jul-20,-0.549
7/13/2020,13-Jul-20,-0.552
7/14/2020,14-Jul-20,-0.551
7/15/2020,15-Jul-20,-0.551
7/16/2020,16-Jul-20,-0.541
7/17/2020,17-Jul-20,-0.551
7/20/2020,20-Jul-20,-0.551
7/21/2020,21-Jul-20,-0.549
7/22/2020,22-Jul-20,-0.55
7/23/2020,23-Jul-20,-0.55
7/24/2020,24-Jul-20,-0.551
7/27/2020,27-Jul-20,-0.552
7/28/2020,28-Jul-20,-0.551
7/29/2020,29-Jul-20,-0.553
7/30/2020,30-Jul-20,-0.552
7/31/2020,31-Jul-20,-0.55
8/3/2020,3-Aug-20,-0.552
8/4/2020,4-Aug-20,-0.551
8/5/2020,5-Aug-20,-0.552
8/6/2020,6-Aug-20,-0.553
8/7/2020,7-Aug-20,-0.553
8/10/2020,10-Aug-20,-0.554
8/11/2020,11-Aug-20,-0.552
8/12/2020,12-Aug-20,-0.552
8/13/2020,13-Aug-20,-0.552
8/14/2020,14-Aug-20,-0.549
8/17/2020,17-Aug-20,-0.553
8/18/2020,18-Aug-20,-0.554
8/19/2020,19-Aug-20,-0.553
8/20/2020,20-Aug-20,-0.553
8/21/2020,21-Aug-20,-0.554
8/24/2020,24-Aug-20,-0.552
8/25/2020,25-Aug-20,-0.553
8/26/2020,26-Aug-20,-0.554
8/27/2020,27-Aug-20,-0.552
8/28/2020,28-Aug-20,-0.552
8/31/2020,31-Aug-20,-0.557
9/1/2020,1-Sep-20,-0.554
9/2/2020,2-Sep-20,-0.555
9/3/2020,3-Sep-20,-0.551
9/4/2020,4-Sep-20,-0.552
9/7/2020,7-Sep-20,-0.551
9/8/2020,8-Sep-20,-0.553
9/9/2020,9-Sep-20,-0.554
9/10/2020,10-Sep-20,-0.554
9/11/2020,11-Sep-20,-0.553
9/14/2020,14-Sep-20,-0.555
9/15/2020,15-Sep-20,-0.551
9/16/2020,16-Sep-20,-0.556
9/17/2020,17-Sep-20,-0.553
9/18/2020,18-Sep-20,-0.552
9/21/2020,21-Sep-20,-0.552
9/22/2020,22-Sep-20,-0.552
9/23/2020,23-Sep-20,-0.551
9/24/2020,24-Sep-20,-0.553
9/25/2020,25-Sep-20,-0.554
9/28/2020,28-Sep-20,-0.555
9/29/2020,29-Sep-20,-0.556
9/30/2020,30-Sep-20,-0.57
10/1/2020,1-Oct-20,-0.558
10/2/2020,2-Oct-20,-0.555
10/5/2020,5-Oct-20,-0.555
10/6/2020,6-Oct-20,-0.556
10/7/2020,7-Oct-20,-0.555
10/8/2020,8-Oct-20,-0.553
10/9/2020,9-Oct-20,-0.553
10/12/2020,12-Oct-20,-0.556
10/13/2020,13-Oct-20,-0.555
10/14/2020,14-Oct-20,-0.556
10/15/2020,15-Oct-20,-0.556
10/16/2020,16-Oct-20,-0.553
10/19/2020,19-Oct-20,-0.553
10/20/2020,20-Oct-20,-0.553
10/21/2020,21-Oct-20,-0.552
10/22/2020,22-Oct-20,-0.554
10/23/2020,23-Oct-20,-0.553
10/26/2020,26-Oct-20,-0.552
10/27/2020,27-Oct-20,-0.554
10/28/2020,28-Oct-20,-0.555
10/29/2020,29-Oct-20,-0.552
10/30/2020,30-Oct-20,-0.557
11/2/2020,2-Nov-20,-0.555
11/3/2020,3-Nov-20,-0.553
11/4/2020,4-Nov-20,-0.558
11/5/2020,5-Nov-20,-0.556
11/6/2020,6-Nov-20,-0.558
11/9/2020,9-Nov-20,-0.558
11/10/2020,10-Nov-20,-0.557
11/11/2020,11-Nov-20,-0.558
11/12/2020,12-Nov-20,-0.548
11/13/2020,13-Nov-20,-0.556
11/16/2020,16-Nov-20,-0.558
11/17/2020,17-Nov-20,-0.557
11/18/2020,18-Nov-20,-0.557
11/19/2020,19-Nov-20,-0.557
11/20/2020,20-Nov-20,-0.557
11/23/2020,23-Nov-20,-0.557
11/24/2020,24-Nov-20,-0.556
11/25/2020,25-Nov-20,-0.554
11/26/2020,26-Nov-20,-0.556
11/27/2020,27-Nov-20,-0.557
11/30/2020,30-Nov-20,-0.56
12/1/2020,1-Dec-20,-0.557
12/2/2020,2-Dec-20,-0.556
12/3/2020,3-Dec-20,-0.556
12/4/2020,4-Dec-20,-0.555
12/7/2020,7-Dec-20,-0.555
12/8/2020,8-Dec-20,-0.559
12/9/2020,9-Dec-20,-0.556
12/10/2020,10-Dec-20,-0.556
12/11/2020,11-Dec-20,-0.557
12/14/2020,14-Dec-20,-0.558
12/15/2020,15-Dec-20,-0.551
12/16/2020,16-Dec-20,-0.557
12/17/2020,17-Dec-20,-0.556
12/18/2020,18-Dec-20,-0.558
12/21/2020,21-Dec-20,-0.557
12/22/2020,22-Dec-20,-0.558
12/23/2020,23-Dec-20,-0.559
12/24/2020,24-Dec-20,-0.555
12/28/2020,28-Dec-20,-0.553
12/29/2020,29-Dec-20,-0.557
12/30/2020,30-Dec-20,-0.555
12/31/2020,31-Dec-20,-0.583
1/4/2021,4-Jan-21,-0.566
1/5/2021,5-Jan-21,-0.563
1/6/2021,6-Jan-21,-0.566
1/7/2021,7-Jan-21,-0.565
1/8/2021,8-Jan-21,-0.562
1/11/2021,11-Jan-21,-0.564
1/12/2021,12-Jan-21,-0.563
1/13/2021,13-Jan-21,-0.562
1/14/2021,14-Jan-21,-0.564
1/15/2021,15-Jan-21,-0.566
1/18/2021,18-Jan-21,-0.565
1/19/2021,19-Jan-21,-0.564
1/20/2021,20-Jan-21,-0.564
1/21/2021,21-Jan-21,-0.562
1/22/2021,22-Jan-21,-0.561
1/25/2021,25-Jan-21,-0.564
1/26/2021,26-Jan-21,-0.558
1/27/2021,27-Jan-21,-0.563
1/28/2021,28-Jan-21,-0.561
1/29/2021,29-Jan-21,-0.564
2/1/2021,1-Feb-21,-0.566
2/2/2021,2-Feb-21,-0.564
2/3/2021,3-Feb-21,-0.558
2/4/2021,4-Feb-21,-0.564
2/5/2021,5-Feb-21,-0.565
2/8/2021,8-Feb-21,-0.563
2/9/2021,9-Feb-21,-0.564
2/10/2021,10-Feb-21,-0.564
2/11/2021,11-Feb-21,-0.565
2/12/2021,12-Feb-21,-0.564
2/15/2021,15-Feb-21,-0.563
2/16/2021,16-Feb-21,-0.564
2/17/2021,17-Feb-21,-0.563
2/18/2021,18-Feb-21,-0.562
2/19/2021,19-Feb-21,-0.563
2/22/2021,22-Feb-21,-0.564
2/23/2021,23-Feb-21,-0.565
2/24/2021,24-Feb-21,-0.564
2/25/2021,25-Feb-21,-0.564
2/26/2021,26-Feb-21,-0.566
3/1/2021,1-Mar-21,-0.563
3/2/2021,2-Mar-21,-0.565
3/3/2021,3-Mar-21,-0.565
3/4/2021,4-Mar-21,-0.565
3/5/2021,5-Mar-21,-0.562
3/8/2021,8-Mar-21,-0.558
3/9/2021,9-Mar-21,-0.56
3/10/2021,10-Mar-21,-0.562
3/11/2021,11-Mar-21,-0.561
3/12/2021,12-Mar-21,-0.562
3/15/2021,15-Mar-21,-0.564
3/16/2021,16-Mar-21,-0.562
3/17/2021,17-Mar-21,-0.561
3/18/2021,18-Mar-21,-0.566
3/19/2021,19-Mar-21,-0.565
3/22/2021,22-Mar-21,-0.566
3/23/2021,23-Mar-21,-0.563
3/24/2021,24-Mar-21,-0.564
3/25/2021,25-Mar-21,-0.564
3/26/2021,26-Mar-21,-0.568
3/29/2021,29-Mar-21,-0.57
3/30/2021,30-Mar-21,-0.57
3/31/2021,31-Mar-21,-0.574
4/1/2021,1-Apr-21,-0.566
4/6/2021,6-Apr-21,-0.567
4/7/2021,7-Apr-21,-0.567
4/8/2021,8-Apr-21,-0.57
4/9/2021,9-Apr-21,-0.568
4/12/2021,12-Apr-21,-0.567
4/13/2021,13-Apr-21,-0.563
4/14/2021,14-Apr-21,-0.56
4/15/2021,15-Apr-21,-0.566
4/16/2021,16-Apr-21,-0.565
4/19/2021,19-Apr-21,-0.567
4/20/2021,20-Apr-21,-0.567
4/21/2021,21-Apr-21,-0.565
4/22/2021,22-Apr-21,-0.565
4/23/2021,23-Apr-21,-0.565
4/26/2021,26-Apr-21,-0.567
4/27/2021,27-Apr-21,-0.56
4/28/2021,28-Apr-21,-0.566
4/29/2021,29-Apr-21,-0.566
4/30/2021,30-Apr-21,-0.569
5/3/2021,3-May-21,-0.567
5/4/2021,4-May-21,-0.564
5/5/2021,5-May-21,-0.566
5/6/2021,6-May-21,-0.565
5/7/2021,7-May-21,-0.563
5/10/2021,10-May-21,-0.567
5/11/2021,11-May-21,-0.564
5/12/2021,12-May-21,-0.564
5/13/2021,13-May-21,-0.564
5/14/2021,14-May-21,-0.564
5/17/2021,17-May-21,-0.565
5/18/2021,18-May-21,-0.558
5/19/2021,19-May-21,-0.564
5/20/2021,20-May-21,-0.563
5/21/2021,21-May-21,-0.564
5/24/2021,24-May-21,-0.566
5/25/2021,25-May-21,-0.565
5/26/2021,26-May-21,-0.565
5/27/2021,27-May-21,-0.564
5/28/2021,28-May-21,-0.566
5/31/2021,31-May-21,-0.571
6/1/2021,1-Jun-21,-0.564
6/2/2021,2-Jun-21,-0.563
6/3/2021,3-Jun-21,-0.563
6/4/2021,4-Jun-21,-0.563
6/7/2021,7-Jun-21,-0.564
6/8/2021,8-Jun-21,-0.563
6/9/2021,9-Jun-21,-0.564
6/10/2021,10-Jun-21,-0.561
6/11/2021,11-Jun-21,-0.566
6/14/2021,14-Jun-21,-0.565
6/15/2021,15-Jun-21,-0.561
6/16/2021,16-Jun-21,-0.562
6/17/2021,17-Jun-21,-0.563
6/18/2021,18-Jun-21,-0.563
6/21/2021,21-Jun-21,-0.564
6/22/2021,22-Jun-21,-0.564
6/23/2021,23-Jun-21,-0.563
6/24/2021,24-Jun-21,-0.565
6/25/2021,25-Jun-21,-0.565
6/28/2021,28-Jun-21,-0.566
6/29/2021,29-Jun-21,-0.568
6/30/2021,30-Jun-21,-0.581
7/1/2021,1-Jul-21,-0.565
7/2/2021,2-Jul-21,-0.565
7/5/2021,5-Jul-21,-0.566
7/6/2021,6-Jul-21,-0.565
7/7/2021,7-Jul-21,-0.565
7/8/2021,8-Jul-21,-0.566
7/9/2021,9-Jul-21,-0.566
7/12/2021,12-Jul-21,-0.568
7/13/2021,13-Jul-21,-0.566
7/14/2021,14-Jul-21,-0.566
7/15/2021,15-Jul-21,-0.566
7/16/2021,16-Jul-21,-0.567
7/19/2021,19-Jul-21,-0.566
7/20/2021,20-Jul-21,-0.567
7/21/2021,21-Jul-21,-0.568
7/22/2021,22-Jul-21,-0.563
7/23/2021,23-Jul-21,-0.567
7/26/2021,26-Jul-21,-0.567
7/27/2021,27-Jul-21,-0.563
7/28/2021,28-Jul-21,-0.567
7/29/2021,29-Jul-21,-0.567
7/30/2021,30-Jul-21,-0.571
8/2/2021,2-Aug-21,-0.565
8/3/2021,3-Aug-21,-0.57
8/4/2021,4-Aug-21,-0.57
8/5/2021,5-Aug-21,-0.566
8/6/2021,6-Aug-21,-0.569
8/9/2021,9-Aug-21,-0.568
8/10/2021,10-Aug-21,-0.567
8/11/2021,11-Aug-21,-0.567
8/12/2021,12-Aug-21,-0.568
8/13/2021,13-Aug-21,-0.569
8/16/2021,16-Aug-21,-0.569
